id,eng,chn
65,actress,n.女演员
66,actual,adj.实际的；真实的；现行的
67,actually,adv.实际上；事实上；居然；竟然（表示惊讶）
68,acute,adj.尖的锐的敏锐的敏锐的激烈的
69,ad,n.(缩)广告abbr.(advertisement[。d'v。:tism。nt]的缩写)广告
70,adapt,vt.使适应改编vi.适应适合
71,add,vt.添加；附加；掺加；增加
72,addition,n.加加法；附加物；增加
73,additional,adj.附加的；追加的；另外的
74,address,"n. 地址住址致词讲话演说谈吐(处理问题的)技巧vt. 发表演说
写地址称呼对付(图书、文章等)讨论(某主题)"
75,adequate,adj.足够的；充足的；适当的；可以胜任的
76,adhere,vi. (fml)粘附;追随;坚持(~ to sth)
77,adjacent,a.毗连的；紧接着的
78,adjective,n.形容词adj.形容词的不独立的
79,adjoin,vt.贴近，毗连；靠近
80,adjust,vt.调整调节校正使...适于vi.适应
81,administer,"vt.执行,管理,治理,"
82,administration,n.管理行政管理部门
83,admire,vt.钦佩羡慕赞赏
84,admission,n.允许进入承认许可入会费
85,admit,vt.承认准许...进入vi.允许进入允许承认
86,adolescent,"a.青春期的,青年的n.青少年"
87,adopt,vt.收养采用采取接受
88,adult,n.成年人adj.成年的成人的成熟的
89,advance,"n.前进进展进步预支vt.前进增涨预先vi.前进提高提升adj.预先
的提前的"
90,advanced,adj.先进的高级的
91,advantage,n.优点优势有利条件好处vt.有利于
92,advent,"n. 来到,来临"
93,adventure,n.冒险奇遇惊险活动vt.冒险尝试vi.大胆进行冒险
94,adverb,n.副词adj.副词的
95,adverse,"a. 不利的,敌对的,相反的,逆的"
96,advertise,vt.通知 vi.登广告
97,advertisement,n.广告公告登广告
98,advice,n.劝告忠告意见建议
99,advisable,n.明智的可取的
100,advise,vt.劝告建议通知警告vi.劝告与...商量
101,advocate,n.辩护者 vt.拥护
102,aerial,a.空气的；航空的
103,aero,adj.飞机的航空的飞行的
104,aeroplane,n.飞机
105,aesthetic,"a. 美学的,审美的,有美感"
106,affair,n.事情事件事务绯闻
107,affect,vt.影响感动作用
108,affection,n.慈爱爱爱慕影响喜爱感情
109,affiliate,"vt. 附属,接纳 vi. 有关"
110,affirm,vt.断言，批准；证实
111,afflict,"vt. 使痛苦,折磨"
112,afford,vt.担负得起(后果损失等)提供给予
113,afraid,adj.害怕的担心的
114,Africa,n.非洲
115,African,adj.非洲的非洲人的n.非洲人
116,after,adj.以后的adv.以后后来conj.在...以后prep.在...以后次于
117,afternoon,n.下午午后int.下午好
118,afterward,adv.后来以后
119,again,adv.又一次而且又再另一方面
120,against,prep.倚在倚靠逆对着反对违背防御相比相对
121,age,n.年龄时代时期很长时间vt.(使)变老vi.变老(使）变成熟
122,agency,n.经办代理代理处政府机构
123,agenda,"n. 议程,应办事项"
124,agent,n.代理人代理商特工人员药剂
125,aggravate,"vt. 使恶化,使更加重"
126,aggressive,adj.侵略的好斗的攻击性的有进取心的强烈的迅速生长的
127,agitation,n.鼓动，煸动；搅动
128,ago,adv.以前
129,agony,n.极度痛苦挣扎
130,agree,vt.同意赞成承认vi.同意持相同意见一致符合
131,agreeable,a.惬意的；同意的
132,agreement,n.协定协议同意一致
133,agriculture,n.农业农艺农学
134,ahead,adv.在前向前提前将来地占优势
135,AI,abbr.人工智能=(Artificial Intelligence)
 136,aid,"n.帮助救护助手辅助物v.援助帮助救护abbr.=Agency for
International Development 国际开发署[美]"
 137,aim,n.目标对准枪法vt.瞄准针对vi.瞄准针对致力旨在打算
 138,air,n.空气空中外观旋律气氛态度v.晾干使通风广播
 139,aircraft,n.飞机飞行器
 140,airline,n.航空公司航线
 141,airplane,n.飞机=aeroplane(英）
 142,airport,n.机场航空站
 143,alarm,n.惊恐惊慌忧虑警报警告报警器vt.使...惊慌警告装报警器
 144,alcohol,n.酒精酒醇乙醇
 145,alert,a.警惕的；活跃的
 146,alien,a.外国的 n.外国人
 147,alike,adj.同样的相同的相似的adv.一样以同样的方式
 148,alive,adj.活着的有活力活跃的
 149,all,"adj.全部的所有的adv.全部非常全然所有prep.全部pron.全部所
有n.全部"
 150,allege,"vt. 宣称,申述,主张,断言"
 151,alleviate,"vt. 减轻,使缓和"
 152,alliance,"n. 联盟,联合"
 153,allocate,"vt. 分派,分配"
 154,allow,vi.(for)考虑到使可能vt.允许准许承认给予断定
 155,allowance,n津贴，补助费
 156,alloy,"n.合金(金属的)成色vt.使...成合金搀以劣质减低成色影响或贬
损vi.有合金能力"
 157,ally,n.盟国，同盟者，伙伴
 158,almost,adv.几乎差不多adj.几乎
 159,alone,adj.单独的仅仅独自一人adv.单独地只有独一无二地
 160,along,adv.向前(与某人)一道prep.沿着
 161,alongside,prep.在…旁边
 162,aloud,adv.出声地大声地
 163,alphabet,n.字母表字母系统符号系统基本原理(元素)
 164,already,adv.早已已经
 165,also,adv.亦也而且还同样地
 166,alter,vt.改变变更改做
 167,alternate,vt.使交替 a.交替的
 168,alternative,adj.两者择一的供选择的非主流的n.替换物取舍抉择
 169,although,conj.尽管虽然
 170,altitude,n.高高度海拔高处高地
 171,altogether,adv.完全总共总而言之
 172,aluminium,n.铝
 173,always,adv.总是一直永远
 174,amateur,a.业余的n.业余爱好者
 175,amaze,vt.使惊奇使惊愕
 176,ambassador,n.大使，使节
 177,ambiguous,a.模棱两可的；分歧的
 178,ambition,n.雄心，抱负，野心，精力vt.有..野心追求
 179,ambitious,a.有雄心的；热望的
 180,ambulance,n.救护车野战医院
181,amend,"vt. 修正,改善,vi. 改过自新"
182,amends,n. 赔偿
183,America,n.美洲美国
184,American,adj.美洲的美国的美式的n.美国人美式英语
185,among,prep.在...之中
186,amongst,prep在...之中在...之间(=among)
187,amount,n.总数数量总额和vi.总计等于
188,ampere,n.安培
189,ample,a.足够的；宽敞的
190,amplify,vt.放大，增强；扩大
191,amuse,vt.逗乐给...娱乐消遣
192,analogy,n.相似，类似；比拟
193,analyse,vt.分析分解解析检讨细察
194,analysis,n.分析分解解析
195,analytic,"a. 分析的,解析的"
196,analytical,"a. 分析的,解析的"
197,ancestor,n.祖宗祖先原种
198,anchor,"n.铁锚vi.抛锚停泊用锚系住担任（广播电视新闻节目）的主持
人"
199,ancient,adj.古代的古老的n.古人古货币
200,and,conj.和又并则逻辑与
201,angel,n.天使，神差，安琪儿
202,anger,n.怒愤怒vt.使发怒激怒
203,angle,n.角角度角落vt.斜移转变角度vi.钓鱼谋取转变角度
204,Angle,n.盎格鲁人
205,angry,adj.愤怒的生气的伤口红肿的
206,animal,n.动物兽兽性与众不同的人adj.动物的野兽的动物性的
207,ankle,n.踝踝关节
208,anniversary,n.周年纪念日
209,announce,vi.当电台的播音员宣称vt.宣布宣告发表通知
210,announcer,n.宣告者播音员广播员告知者
211,annoy,vt.使恼怒使生气打搅骚扰使...苦恼
212,annual,adj.每年的年度的一年生的n.年报年刊年鉴一年生植物
213,anonymous,a. 匿名的
214,another,adj.再一个的别的另一的不同的pron.另一个
215,answer,n.答案回答反驳回应vi.回答符合vt.回答响应适应
216,ant,n.蚂蚁
217,antarctic,a.南极的 n.南极区
218,anticipate,vt.预料预期期望抢...前语言提前使用vi.预期
219,antique,a.古代的 n.古物
220,anxiety,n.焦虑忧虑渴望担心
221,anxious,adj.焦急的忧虑的渴望的
222,any,adj.什么一些任何的adv.稍一丁点pron.任何
223,anybody,n.重要人物pron.任何人
224,anyhow,adv.无论如何不管怎样
225,anyone,pron.任何人
226,anything,pron.任何事物一切
227,anyway,adv.无论如何不管怎样
228,anywhere,adv.在什么地方任何地方n.任何(一个)地方
229,apart,adv.相隔分开除去分别地有区别地adj.分开的分离的
230,apartment,n.一套公寓房间
231,apologize,vi.道歉谢罪认错
232,apology,n.道歉认错谢罪勉强的替代物
233,apparatus,n.装置器具器械仪器器官机构组织
234,apparent,adj.表面上的明显的
235,appeal,n.呼吁申述恳求上诉吸引力诉诸裁决vi.求助诉请呼吁申述吸引
236,appear,vi.出现来到抵达似乎显得出版
237,appearance,n.出现出场来到外观
238,appendix,n.附录，附属物；阑尾
239,appetite,n.食欲胃口欲望嗜好
240,applaud,vt.喝彩；欢呼vi.欢呼
241,apple,n.苹果苹果树
242,appliance,n.用具器具器械装置应用
243,applicable,adj.能应用的适当的合适的
244,application,n.应用请求申请专心施用应用软件程序
245,apply,vt.应用实施使用涂使专心从事vi.申请有关联
246,appoint,vt.任命委任约定指定预约装饰vi.行使任命权
247,appointment,n.任命约定约会预约委派官职设备
248,appraisal,"n. 评价,估价,鉴定"
249,appreciable,a.可估价的；可察觉的
250,appreciate,vt.欣赏感激赏识领会充分意识感谢vi.增值
251,apprehension,"n. 理解,忧惧,逮捕"
252,approach,n.接近途径方法vt.向...靠近靠近接近动手处理
253,appropriate,adj.适当的恰当的相称的vt.拨出(款项)占用
254,approval,n.赞成同意批准认可
255,approve,vt.赞成称许批准核准证实vi.赞同
256,approximate,adj.近似的大约的vt.近似接近约等于
257,approximately,adv.近似地大约
258,April,n.四月
259,apt,a.恰当的；聪明的
260,Arabian,adj.阿拉伯(人)的n.阿拉伯人
261,arbitrary,adj.随心所欲的专断的任意的专制的武断的霸道的
262,arc,n.弧，弓形物；弧光
263,arch,n.拱门 vt.用拱连接
264,architect,n.建筑师；创造者
265,architecture,n.建筑学建筑式样建筑业建筑物结构
266,arctic,a.北极的 n.北极
267,area,n.面积地区区域领域方面
268,argue,vt.争论辩论争吵劝说表明vi.提出理由争论争辩辩论
269,argument,n.争论辩论理由论点(据)
270,arise,vi.出现由...引起上升
271,arithmetic,n.算术四则运算
272,arm,"n.手臂臂状物武器港湾狭长地带扶手袖子vt.装备准备(炸弹)vi.
武装自己"
273,army,n.军队陆军大群
274,around,"adj.大约在现存范围内adv.大约到处在周围prep.在...周围
在...附近到处"
275,arouse,vt.引起唤起唤醒激发激起vi.唤醒
276,arrange,vt.筹备整理调解安排计划改编(乐曲)vi.协商计划
277,arrangement,n.整理排列安排商议
278,array,vt.装扮 n.队列；排列
279,arrest,n.逮捕监禁vt.逮捕拘留阻止妨碍吸引
280,arrival,n.到达到来到达者
281,arrive,vi.到达来临达到成功
282,arrow,n.箭箭头箭状物vi.快且笔直的前进有如穿梭的箭
283,art,adj.美术(品)的艺术(品)的n.艺术美术技术阴谋
284,article,n.文章条款物品冠词vt.定契约
285,articulate,a. 发音清晰的，听得懂的
286,artificial,adj.人工的人造的虚伪的武断的娇揉造作的
287,artist,n.艺术家美术家艺人
288,artistic,adj.艺术的艺术家的
289,as,adv.同样地像prep.当做conj.当...的时候像...一样因为
290,ascend,vi.攀登，登高；追溯
291,ascertain,vt.查明，确定，弄清
292,ascribe,vt.把…归于
293,ash,n.灰灰烬灰末骨灰
294,ashamed,adj.惭愧(的)羞耻(的)感到惭愧感到害臊因为羞耻或勉强作某事
295,Asia,n.亚洲
296,Asian,adj.亚洲的n.亚洲人
297,aside,n.旁白顺便说的话adv.在旁边到旁边在一边另外离开
298,ask,vt.问询问要求邀请请求开价vi.询问恳求
299,asleep,"adj.睡着的睡熟的已死的不活跃的麻木的adv.处于或进入睡眠状
态地陷入麻木不仁状态地"
300,aspect,n.方面样子外表外貌外观方位方向
301,assault,vt.袭击；殴打 n.攻击
302,assemble,vt.集合召集装配vi.集合聚集
303,assembly,n.集合集会装配
304,assert,vt.断言，宣称；维护
305,assess,vt.对(财产等)估价估定评定
306,asset,"n. 资产,有用的东西"
307,assign,vt.指派分配指定转让n.受让人
308,assignment,n.分配功课任务被指定的(课外)作业委派
309,assimilate,"vt. 使同化,吸收,比较"
310,assist,vt.援助帮助协助的器械搀扶vt.帮助协助vi.帮助协助出席
311,assistant,n.助手助理助教adj.副的
312,associate,"vt.联合联想vi.交往加入陪同n.伙伴同事合伙人准学士学位获得
者adj.副的有联系的共事的"
313,association,n.协会团体社团联合结合交往联想
314,assume,vt.假定设想承担呈现(想当然的)认为
315,assumption,n.采取；假定；傲慢
316,assurance,n.保证；财产转让书
317,assure,vt.使确信向...保证；保险；保证；确信担保
318,astonish,vt.使惊讶；使吃惊
319,astronaut,n.宇宙航行员；宇航员
320,astronomy,n.天文学
321,at,prep.在...里在...时
322,athlete,n.运动员；田径运动员
323,Atlantic,adj.大西洋的n.大西洋
324,atmosphere,n.大气；空气；气氛；格调；情趣；气压
325,atmospheric,adj.大气的；大气层的；制造气氛的
326,atom,n.原子微粒微量
327,atomic,adj.原子的；原子能的
328,attach,vt.缚系贴附加；使依恋
329,attack,n.攻击评击vt.攻击动手疾病发作vi.发动攻击adj.有计划的攻击
330,attain,vt.达到获得完成
331,attempt,vt.尝试试图n.企图
332,attend,vt.出席照顾护理照料参加注意vi.专心留意待命
333,attendance,n.到场；出席人数
334,attendant,n.侍者；护理人员
335,attention,n.注意(力)留心；关心；立正
336,attentive,adj.注意的；留意的；有礼貌的
337,attitude,n.态度看法姿势
338,attorney,n.代理人；辩护律师
339,attract,vt.吸引；引起；诱惑；有吸引力
340,attraction,n.吸引；吸引力；有吸引力的人或事物；引力
341,attractive,adj.有吸引力的；引起注意的
342,attribute,vt.把...归因于属于n.属性特征标志象征
343,audience,n.听众；观众；读者；拥护者；倾听；正式会见
344,augment,"vt.vi.n. 增加,增大"
345,August,n.八月(大写时）adj.威严的尊严的(小写时）
346,aunt,n.伯母婶母姑母姨
347,aural,adj.耳的听觉的
348,Australia,n.澳大利亚
349,Australian,adj.澳大利亚的n.澳大利亚人
350,authentic,"a. 真实的,可靠的,可信的"
351,author,n.作者作家创造者vt.创造写作
352,authoritative,"a. 权威的,有权威的,命令式的"
353,authority,n.当局官方权力权威专家权威人士依据
354,authorize,"vt. 授权与,批准,委托代替"
355,auto,n.(口语)汽车autos=automobile 自动汽车pref.自动的自己的
356,automatic,adj.自动的机械的半自动化的n.自动装置半自动武器
357,automation,n.自动，自动化
358,automobile,n.汽车机动车adj.汽车的
359,autonomy,n. 自治
360,autumn,n.秋秋季秋天
361,auxiliary,n.帮助者辅助物助动词adj.辅助的附属的附加的
362,avail,vt.有益于 n.效用
363,available,adj.可利用的可得到的有用的有效的通用的
364,avenue,n.林荫道道路大街途径手段
365,average,"n.平均数平均水平adj.平均的一般的通常的v.取平均值达到平均
水平"
366,avert,"vt. 转开,避免,防止"
367,aviation,n.飞行
368,avoid,vt.避免躲开逃避撤消
369,await,vt.等候期待准备...以待储存vi.等待
370,awake,adj.醒着的警惕的vt.唤醒唤起激发vi.醒来恢复意识
371,award,n.奖奖品判定vi.授予给予vt.授予
372,aware,adj.知道的意识到的
373,away,adv.离开远离出去连续的遥远地...去adj.远离
374,awful,adj.令人不愉快的可怕的畏惧的充满敬畏的艰难的adv.极其
375,awfully,adv.令人畏惧的很可怕地非常地极端地
376,awkward,adj.笨拙的尴尬的
377,ax,"n.斧子（吉他或者萨克斯风类的）乐器vt.用斧砍削减
abbr.=(axiomaxis)"
378,axis,n.轴，轴线；第二颈椎
379,B.C.,(缩)公元前
380,baby,"adj.(形容用法)婴儿的过小的n.婴儿孩子气的人象婴儿的人需特
殊关心的事物vt.溺爱过度关心"
381,bachelor,n.未婚男子；学士
382,back,"adj.后面的偏远的过时的积欠的向后的adv.在后回原处回向后地
n.后背背脊后面靠背vt.后退支持vi.后退"
383,background,n.背景后景经历幕后配音vt.提供背景
384,backward,adj.向后的倒的adv.倒向后
385,bacteria,n.(复数)细菌
386,bad,adj.坏的恶的严重的令人不满意的有害的有病的n.坏人坏事
387,badge,n.徽章，像章；标志
388,badly,adv.坏差严重地恶劣地极度地
389,badminton,n.羽毛球
390,baffle,vt.使挫折 n.迷惑
391,bag,"n.袋包钱包背包猎获物vt.鼓起把...装入袋中猎杀占有vi.鼓起
宽松地下垂或悬吊"
392,baggage,n.行李
393,bake,vt.烤烘焙烧硬vi.烘焙烤变得炎热n.烘焙烤
394,balance,"vt.使平衡称称重量权衡抵消vi.建立平衡均衡n.天平平衡差额平
静调和制衡"
395,bald,a.秃头的；无毛的
396,ball,n.球球状物舞会v.(把...捏)成球状
397,ballet,n.芭蕾舞；舞剧
398,balloon,n.气球玩具气球vt.使膨胀vi.如气球般膨胀激增adj.气球状的
399,ban,"n. 禁令 vt. 禁止,取缔"
400,banana,n.香蕉芭蕉属植物
401,band,n.乐队带波段箍队v.联合结合
402,bandage,n.绷带，包带
403,bang,"n.(突然)巨响枪声猛击重击刘海vt.重击大声敲剪成刘海vi.大声
敲击发出巨响adv.正好地准确地"
404,bank,n.银行库岩堤vt.堆积vi.开户把...存入银行
405,bankrupt,a.破产的 vt.使破产
406,banner,"n.旗旗帜横幅大标题adj.特别好的杰出的vt.用横幅装饰以大标
题报道"
407,bar,n.酒吧间条杆栅条棒横木vt.禁止阻挠
408,barber,n.理发师
409,bare,adj.赤裸的显露的极少的仅仅的vt.使赤裸露出
410,barely,ad.仅仅，勉强
411,bargain,n.交易买卖物美价廉的东西vi.议价成交vt.议价交易
412,bark,"n.吠叫声狗叫咆哮厉声说话树皮小帆船vi.吠叫吠叫咆哮急促地
说"
413,barn,n.谷仓牲口棚
414,barrel,"n.桶圆筒枪管炮管笔管一桶的量大量汽油桶vi.快速移动
vt.把...装桶"
415,barren,a.贫瘠的；不妊的
416,barrier,n.栅栏屏障障碍障碍物界线
417,base,"n.基础底层基地（支持、收入、力量等的）基础vt.以...作基础
adj.卑鄙的不道德的"
418,basement,n.地下室；地窖；底层
419,basic,"n.基本实质性的东西基础训练[计]BASIC语言基本高级语言adj.
基本的基础的含硅量少的"
420,basically,adv.基本上主要地
421,basin,n.盆洗脸盆盆地流域水池
422,basis,n.基础根据主要成分
423,basket,n.篮篓筐<篮>篮球筐得分
424,basketball,n.篮球篮球运动
425,bat,n.球拍短棍棒击打蝙蝠v.用棒击打[计算机]DOS文件名：批文件
426,batch,"n. 一组,分批,成批,批"
427,bath,"n.浴洗澡洗澡水浴缸浴室财政亏损(复)游泳池n.(Bath)巴斯(英
国城市)v.洗澡"
428,bathe,vt.给...洗澡弄湿沐浴用水洗沉浸
429,bathroom,n.浴室盥洗室
430,battery,n.电池一套一组一系列排炮
431,battle,n.战役斗争争论vi.与...作战与...斗争
432,bay,"adj.红棕色n.湾海湾山脉中的凹处红棕色隔间配电间犬吠围困月
桂树名望vi.嗥叫vt.吼叫着追赶或进攻哀号把...围困住"
433,be,aux.v. &vi.是在做有
434,beach,n.海滩湖滩河滩vt.拖(船)上岸
435,beam,n.梁横梁束柱光线电波容光焕发vt.闪亮为...上梁vi.微笑发光
436,bean,n.豆蚕豆
437,bear,n.熊粗鲁的人vt.忍受负荷结果实生子女
438,beard,n.胡须络腮胡子vt.抓住胡须公开反对
439,bearing,n.支承；忍受；方位
440,beast,n.兽野兽牲畜凶残的人令人厌憎的人
441,beat,n.打敲打声拍子独家报道一会儿vt. &vi.打敲打败
442,beautiful,adj.美的美丽的漂亮的
443,beauty,n.美美丽美人美的东西
444,because,conj.由于因为
445,become,vt.变得vi.存在变成成为变得经历改变或发展
446,bed,"n.床床位圃河床底层基座vt.铺床去睡觉安置发生性关系vi.铺床
去睡觉铺层躺平"
447,bee,n.蜂密蜂忙碌的人
448,beef,n.牛肉菜牛v.抱怨诉苦
449,beer,n.啤酒
450,before,adj. &adv.以前在...之前prep. &conj.在...以前向...
451,beforehand,ad.预先；提前地
452,beg,vt.乞讨恳求合理需要vi.行乞乞求abbr.(begin)的缩写开始
453,beggar,n.乞丐穷人<非正式>人家伙vt.使贫穷使不足使不能
454,begin,vi.开始起初是vt.开始意欲作出某事
455,beginner,n.初学者生手
456,beginning,n.开始开端起源早期adj.刚开始的动词begin的现在分词
457,behalf,n.利益维护支持
458,behave,vi.表现举止行为举止端正运转
459,behavior,n.行为举止态度
460,behind,"adv.在后面落后迟地adj.后面的落后的迟的慢的prep.在...后面
落后于掩盖基于支持n.屁股"
461,being,n.存在生物生命人vi.存在处于举行去或来是adj.现在的目前的
462,belief,n.信任相信信念信仰
463,believe,vt.相信认为
464,bell,"n.钟铃门铃钟声花冠吼叫声vt.敲钟使象钟状地张开vi.使呈钟状
张开"
465,belong,vi.属于附属适合于
466,beloved,adj.为...的爱的心爱的n.爱人
467,below,"adv.在下面向下下级prep.在...下面(以下)(级别、重要性)低于
adj.在...下面n.下面的东西"
468,belt,"n.带(状物)腰带皮带区vi.飞奔大声唱vt.系上腰带环绕击打大声
唱"
469,bench,"n.长凳条凳工作台梯田vt.坐在长凳上放置长凳在展览会上展览
vi.形成梯田"
470,bend,vt.使弯曲vi.弯曲屈服n.弯曲(物)弯道
471,beneath,adv.在下方prep.在...下方在...之下
472,beneficial,adj.有利的有益的
473,benefit,n.利益恩惠津贴义卖义演vt.有益于vi.得益
474,berry,n.浆果(如草莓等)
475,beside,prep.在...旁边与…相比
476,besides,adv.而且也此外prep.除...之外adj.别的
477,best,adj.最好的最大的adv.最最好地n.最好的人(或物)vt.胜于
478,bet,n.打赌赌注最大的可能vi.下注vt.打赌
479,betray,vt.背叛；辜负；泄漏
480,better,adj.较好的更好的adv.更好地v.使...更好超越n.更好的事物
481,between,adv.在中间prep.在...中间
482,bewilder,vt.迷惑，把…弄糊涂
483,beyond,adv.在更远处另外n.远处来世prep.在...的那边超出越过另外
484,bias,"n. 偏见,偏袒,斜线 vt.使有偏见"
485,Bible,n.基督教《圣经》有权威的书
486,bibliography,n. 参考书目
487,bicycle,n.自行车脚踏车v.骑自行车
488,bid,"n. 出价vt.vi. 命令,吩咐,投标"
489,big,"adj.大的巨大的重要的adv.以郑重的方式大数量n.杰出的组织和
个人"
490,bike,n.自行车vi.骑自行车
491,bill,"n.比尔(男名)账单钞票招贴票据清单议案法案广告鸟嘴喙vt.开
帐单用海报宣传把...列成表"
492,billion,num.(英)万亿(美)十亿n.大量adj.大量的
493,bind,n.窘境vt.捆绑包扎装钉约束约束
494,biography,n. 传记
495,biology,n.生物学生态学
496,bird,n.鸟家禽陶土飞靶伙伴vi.观察或辨认鸟
497,birth,n.分娩出生诞生出身血统出现起源
498,birthday,n.生日诞生的日期
499,biscuit,n.(英)饼干(美)软饼姜黄褐色
500,bit,"n.一点少量一些小片钻头马嚼子辅币位比特(二进位制信息单
位)vt.控制"
501,bite,"n.咬一口少量食物咬伤的伤口vt.咬叮螫剌穿vi.咬(饵)使剧痛紧
抓"
502,bitter,"adj.苦的痛苦的剧烈的严寒的n.苦久苦涩苦的东西vt.使...变苦
adv.激烈地极其"
503,bitterly,adv.苦苦地悲痛地怨恨地残酷地
504,bizarre,a. 奇异的
505,black,"adj.黑的暗的穿黑衣服的脏的邪恶的阴沉的机密的n.黑色东西黑
色黑人(棋类)黑子v.(使)变黑抹黑"
506,blackboard,n.黑板
507,blade,n.刀刃刀片叶片刀锋
508,blame,n.过失责备vt.责备把...归咎于
509,blank,"adj. 空白的茫然的全部的面无表情的未完工的n. 空白(处)空隙
空虚(有弹药而无弹头的)空弹vi.  消失走神vt. 使模糊不清删
除封闭(比赛时连续得分)使对手得零分"
510,blanket,"n.毛毯羊毛毯覆盖物排字版vt.用毯子裹扑灭挡风覆盖使包含
adj.包含所有的适用于所有情形的"
511,blast,n.爆炸冲击波气流一阵汽笛声vi.爆破突然发出声音vt.喷射炸掉
512,blaze,n.火；闪光 vi.燃烧
513,bleak,"a. 萧瑟的,苍白的,荒凉的"
514,bleed,"vi.出血流血泌脂(为事业祖国)负伤或牺性(花草﹑树木等)流出
汁液出大笔钱vt.放血勒索钱财大大削弱使...流血n.印刷到纸边
上去漏出"
515,blend,vt. &vi.混合n.混合物
516,bless,vt.为...祝福赐福祈佑称颂上帝使神圣赋予
517,blind,"adj.瞎的盲目的未察觉的n.百叶窗幌子vt.使失明隐藏adv.盲目
地"
518,block,n.街区木块石块阻塞(物)障碍(物) vt.堵塞拦阻
519,blood,n.血血液血统仇恨vt.流血
520,bloom,n.花开花开花期钢块兴旺vt.使...开花vi.开花变得健康
521,blossom,n.花，开花 vi.开花
522,blow,"vi.吹吹动吹响打击殴打v.吹风吹擤（鼻子）【口】浪费（机
会）"
523,blue,"adj.蓝色的沮丧的忧郁的(女人)有学问的n.蓝色vt.使...变蓝
vi.变蓝"
524,blunder,vi.犯大错 n.大错
525,blunt,"a. 钝的,坦率的,麻痹的"
526,blush,vi.脸红，害臊 n.脸红
527,board,"n. 板木板甲板董事会伙食舞台演员的职业船舷vt.   上(飞机、
船、车等)  有偿提供食宿用木板覆盖vi.搭伙"
528,boast,n.吹牛vi.吹牛自夸vt.吹牛吹嘘
